,iter_0,iter_1,iter_2
2025-04-01,1086737.8621402192,1077423.795915567,1080371.6199125997
2025-05-01,1086153.6909732216,1089228.5141662017,1088929.4038023553
2025-06-01,1095112.6309058634,1079879.8514113305,1087471.0241238999
2025-07-01,1062363.527641008,1086053.0052589488,1091332.922429303
2025-08-01,1052586.0178637397,1086402.382579825,1094301.27816422
2025-09-01,1071546.114482788,1086745.1293260858,1083442.632889116
2025-10-01,1047953.3693138424,1074724.4933207484,1100721.9861894604
2025-11-01,1045371.5718668412,1067119.753984559,1105768.9718260376
2025-12-01,1023617.7679209549,1051839.744665605,1100472.5570095473
2026-01-01,1036271.019956033,1066863.6895911351,1126595.8121339316
2026-02-01,1012042.9499546309,1039438.5127397056,1109952.1633045762
2026-03-01,1002195.9919252191,1048046.1578816836,1117330.4230636384
2026-04-01,1007058.4217579903,1058854.0655732134,1124881.966429621
2026-05-01,1004031.0728383993,1053639.2331074285,1107845.9959853417
2026-06-01,1022452.0626121437,1057060.9625026921,1140537.3940382681
2026-07-01,1029932.6004673428,1052211.0205296488,1143958.4076909132
2026-08-01,1025456.4858206083,1063609.8250006852,1128437.2155213035
2026-09-01,1031525.6912580782,1058737.659846538,1123113.1724967526
2026-10-01,1047749.0172617893,1049288.190627936,1139583.356658459
2026-11-01,1050637.3989594914,1054825.137621003,1150022.544311546
2026-12-01,1062828.4758667157,1049645.0435380465,1159927.6084196544
2027-01-01,1062232.53495096,1036729.5079931653,1139939.949252789
2027-02-01,1065044.588755436,1028154.7522284557,1125199.0043704864
2027-03-01,1064368.517385334,1024768.3138856394,1155870.3336009867
2027-04-01,1076211.4255496715,1010161.6319217029,1157436.0388150574
2027-05-01,1072408.0547287369,1021282.7512898203,1153126.7809343887
2027-06-01,1094022.2615799531,1015976.2992857241,1156153.2384336705
2027-07-01,1103265.3283083371,1050631.259497082,1152854.1792727932
2027-08-01,1100067.3571817328,1057359.3277701342,1149012.2786799122
2027-09-01,1088858.5271119052,1061613.3655732353,1143830.5274948159
2027-10-01,1090772.7559660287,1073215.083441787,1143268.1204076738
2027-11-01,1105377.3987553811,1079412.250190894,1141978.4142805291
