,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1077483.7301688557,1079953.2026690354,1081248.3572603224,1081572.145908144,1076866.3620438108
2025-05-01,1079705.568766636,1082376.791048641,1084513.2248782641,1085047.33333567,1079037.7631961347
2025-06-01,1079449.7861461171,1088431.80115498,1089234.1978453798,1089434.7970179797,1077204.2823939014
2025-07-01,1067206.8918254515,1077446.3490625487,1091379.1309529662,1094862.3264255705,1064647.0275161772
2025-08-01,1058447.2187295672,1079760.7487239873,1085577.9837114664,1087032.292458336,1053118.8362309623
2025-09-01,1070084.9728519747,1074183.0496120946,1076903.6432855148,1077583.7917038698,1069060.4536619447
2025-10-01,1051028.1953008396,1056738.8587852058,1092233.4004578327,1101107.0358759894,1049600.5294297482
2025-11-01,1048588.1995539216,1052057.9574988314,1101701.4525183756,1114112.3262732616,1047720.760067694
2025-12-01,1028429.1900401186,1042208.3057302635,1088566.1046768147,1100155.5544134525,1024984.4111175825
2026-01-01,1038172.8094862554,1055249.7968292749,1104348.086543435,1116622.658971975,1033903.5626505006
2026-02-01,1013897.9844357468,1028017.9899015306,1082995.5197543998,1096739.902217617,1010367.9830693009
2026-03-01,1010131.7095813097,1039220.2404704813,1089261.8901309322,1101772.3025460448,1002859.5768590168
2026-04-01,1005707.0004737745,1044673.136112584,1089351.1730465142,1100520.6822799968,995965.4665640721
2026-05-01,1003996.7765359782,1045994.7091031448,1092971.2911895977,1104715.4367112108,993497.2933941865
2026-06-01,1015965.7157413594,1051619.5068782007,1106866.0568488343,1120677.6943414926,1007052.2679571491
2026-07-01,1021603.6796545899,1057001.0843275206,1104966.9282313334,1116958.3892072865,1012754.3284863571
2026-08-01,1013503.8184899224,1076174.194743729,1111290.9837685057,1120070.1810247,997836.2244264708
2026-09-01,1025003.9487770707,1070244.9877541636,1105628.2203845286,1114474.02854212,1013693.6890327975
2026-10-01,1037843.1783082853,1063415.692451388,1116615.4735558596,1129915.4188319775,1031450.0497725096
2026-11-01,1042817.9500385611,1066607.1637477255,1122830.57017261,1136886.4217788312,1036870.64661127
2026-12-01,1044674.0866492314,1057716.789045374,1124215.2900533415,1140839.9153053334,1041413.4110501957
2027-01-01,1036648.5748369263,1042438.1423786747,1119357.772914407,1138587.68054834,1035201.1829514892
2027-02-01,1033829.7773485528,1040443.8304184013,1107993.0769237927,1124880.3885501404,1032176.2640810907
2027-03-01,1030619.620696232,1040109.4130005586,1131133.580479267,1153889.6223489442,1028247.1726201503
2027-04-01,1019014.8569817679,1028262.6451154796,1125218.0824217875,1149456.9417483646,1016702.90994834
2027-05-01,1025046.9458284843,1036263.4601525153,1123567.266618204,1145393.218234626,1022242.8172474764
2027-06-01,1026504.600474307,1042085.1076435895,1130285.6854199066,1152335.8298639858,1022609.4736819863
2027-07-01,1018724.4154987549,1048388.9773221244,1135160.381616952,1156853.2326906587,1011308.2750429126
