,iter_0,iter_1,iter_2
2025-04-01,1087196.1087802711,1076353.1931264857,1079251.2670943886
2025-05-01,1087975.8044766784,1087776.2036874336,1088200.6847838708
2025-06-01,1097003.117854978,1077686.0139260725,1088681.1611888565
2025-07-01,1060046.8824591555,1083745.4064856044,1092627.02612444
2025-08-01,1044157.8407871834,1084008.4044619394,1097435.652610789
2025-09-01,1061300.1083797328,1084097.5474689533,1087892.9288916625
2025-10-01,1034528.2222389668,1074302.6715938894,1103057.3825738614
2025-11-01,1027632.6310784426,1067692.2319613323,1101057.6231959665
2025-12-01,1002925.6043149343,1049273.4766987693,1090885.2552363877
2026-01-01,1013946.3881181809,1061253.2374098946,1118528.9639744032
2026-02-01,989360.2173250536,1030719.9774278457,1106085.8282918334
2026-03-01,977249.936610926,1036376.2563435279,1116145.0664227894
2026-04-01,978416.7943821837,1043863.9868994576,1122348.1423069441
2026-05-01,978087.9072527509,1037508.2987139045,1111100.5066353173
2026-06-01,996612.2158219253,1040692.0154717012,1141482.517839871
2026-07-01,996149.366220267,1031877.9613592029,1146170.075098238
2026-08-01,986788.4295869309,1036366.7984170113,1127858.4925009108
2026-09-01,995494.0114855409,1021330.5466862051,1122562.2612072139
2026-10-01,1011118.8863536317,1008709.6750295036,1137854.120661531
2026-11-01,1010020.3292389925,1009291.2868817217,1150543.5657020807
2026-12-01,1020000.7702497222,1002924.9292975268,1155725.6062047852
2027-01-01,1018617.2736244128,990634.7151146246,1140948.0061685108
2027-02-01,1018543.0665335369,982708.5652327298,1122776.335831394
2027-03-01,1012946.1650478488,979623.8001849541,1151563.2554934798
2027-04-01,1021914.7726036395,964783.9001762077,1152432.714786783
2027-05-01,1016630.8247698883,972991.2166971614,1146557.7021688314
2027-06-01,1036121.5009665693,966158.4054846136,1147091.689360242
2027-07-01,1043037.2091304366,999741.9670968433,1142541.6809384234
2027-08-01,1037541.9595063723,1009140.1163729572,1136166.1269832985
2027-09-01,1026786.7229456693,1014973.7632688105,1129455.0085693295
2027-10-01,1028059.451927742,1021475.0096350996,1127877.7549446586
2027-11-01,1040750.3596438275,1021831.4985684676,1124562.1406765876
2027-12-01,1024854.3000251381,1029267.6525290342,1109148.831833724
2028-01-01,1053175.9151548718,1021774.3498944315,1114524.7513541316
2028-02-01,1045046.354722701,1032090.9787531005,1119140.740933927
2028-03-01,1051301.9846363056,1015353.7241476395,1105050.1256453255
2028-04-01,1034446.2279925751,1013793.2877534587,1105499.864968471
2028-05-01,1041328.8299164892,1036151.8359078786,1092441.1690748953
2028-06-01,1012103.6447110351,1020905.4028314976,1093102.273730309
2028-07-01,983427.3106753898,1036571.7667345854,1090633.6857066888
2028-08-01,986267.2653009074,1009525.8454772852,1101199.5226470684
2028-09-01,985487.3304533585,998776.2844859958,1099920.1515516506
2028-10-01,983181.2975051065,976971.4516080549,1110087.0226187576
2028-11-01,986006.5789540797,977755.1973294318,1101728.660264152
2028-12-01,985928.4057879102,955566.5826438706,1104218.6743438095
2029-01-01,970650.2820957984,976844.7435178042,1099937.1983842133
2029-02-01,982233.762474943,962423.8932533152,1106603.9466581843
2029-03-01,976972.9388868615,960014.331909081,1090449.5890459986
2029-04-01,985685.8712726799,973866.6043735258,1103108.806269107
2029-05-01,982708.5138780042,956674.1786118551,1120168.547793749
2029-06-01,1002045.2820254798,955771.2204134809,1111164.9186929418
2029-07-01,999507.4955765416,954306.6313436981,1099834.4347692395
2029-08-01,990451.0135619445,964950.0251408287,1103335.2115218653
2029-09-01,989288.1116493886,977064.7055707888,1094633.4454518452
2029-10-01,983529.4684829972,969731.3957932154,1077156.549704928
2029-11-01,972885.223173276,972724.6254962134,1071792.297339656
2029-12-01,984912.0073042817,968835.2785263904,1054667.4748013318
2030-01-01,993210.1525201851,957950.2676279545,1051245.4010765583
2030-02-01,991256.1509546178,946718.2058390747,1056950.58800338
2030-03-01,977295.1382585245,954639.5870437026,1032721.5631469903
2030-04-01,975278.2644432762,945516.6147051251,1016809.898448131
2030-05-01,985911.9197042243,949623.6719692192,1006039.7139167773
2030-06-01,967425.7283350325,943960.608470799,1010088.4527653467
2030-07-01,982725.8267356056,950917.5225121358,1010753.6798019378
2030-08-01,994254.1451362779,953876.3539343651,997217.4269691481
2030-09-01,997316.6368463472,946229.460846137,988629.7408315998
2030-10-01,992845.7731302163,960987.3071669566,988920.293450142
2030-11-01,997226.0559410431,966809.6613802018,969102.5187741364
2030-12-01,1025514.139881711,986033.5253851064,961290.4201568104
2031-01-01,1009569.2695900705,983113.1967298139,980750.5049292933
2031-02-01,1027082.7855275214,979257.3664082845,970183.9004217619
2031-03-01,1018560.9784369302,984196.5569568875,973562.9056924027
2031-04-01,1021602.4496591658,987525.3126935931,962370.6318908952
2031-05-01,1033771.1938635656,1008823.5701251192,958910.2220753242
2031-06-01,1037828.6586818333,1004877.008906559,966666.4396762105
2031-07-01,1027658.8161966053,987101.5007486657,945825.7932847647
2031-08-01,1049366.7412684336,962771.3014194306,943550.5233062612
2031-09-01,1057877.6592772594,966277.0257570944,974453.7474722462
2031-10-01,1071121.3436548815,974918.1682087254,965505.2861928152
2031-11-01,1044613.0731510861,975968.7347219188,961422.0495440478
2031-12-01,1043538.1077239516,981419.8047356626,947543.4607034661
2032-01-01,1039589.9187399349,989753.2985033367,936003.7588244784
2032-02-01,1024984.4181103437,992893.9446401717,940751.6515592027
2032-03-01,1037662.9412036667,1002632.4542176331,925140.0494750615
2032-04-01,1046898.2336845613,1014912.9942276493,916862.098051486
2032-05-01,1051917.5116436626,1000702.5893428331,908589.76606112
2032-06-01,1065202.1903618176,1018973.8060694791,909501.4412030175
2032-07-01,1067514.9768001435,1009869.856870367,894690.0456244942
2032-08-01,1086814.898862011,1010742.1300064266,905255.3792174864
2032-09-01,1095093.8334652414,1006302.538227829,883435.9877696504
2032-10-01,1095706.8735478397,1019398.997342774,876170.674385294
2032-11-01,1094875.9085856618,1038745.3634103016,870745.1464663654
2032-12-01,1118680.4402301556,1037475.2924508916,878775.6725045231
2033-01-01,1112515.5949496136,1056591.2031236538,883024.343409893
2033-02-01,1105498.033258209,1053486.4494298196,909288.222421275
2033-03-01,1129380.127089894,1050758.003807654,918470.3855750241
2033-04-01,1149861.937783754,1071797.3912876267,946332.5947098747
2033-05-01,1147357.9676737064,1081093.963895146,964846.2799482889
2033-06-01,1151964.5822913721,1112839.7748895837,985820.3651206307
2033-07-01,1148434.7249302994,1119398.826874306,993095.0192277429
2033-08-01,1126903.2126651462,1120159.3387659132,986421.4115525038
2033-09-01,1115489.3429800663,1133541.0168756898,977271.0937227065
2033-10-01,1108232.7555634843,1126958.5423818508,981838.2865251766
2033-11-01,1113114.391516733,1142192.0229232041,996872.5141383867
2033-12-01,1105325.8364026695,1138719.7676367895,996189.1315224643
2034-01-01,1119976.2223010156,1119621.2966740562,991560.9194461689
2034-02-01,1132918.6998396567,1101001.6138253158,980144.4843595881
2034-03-01,1138726.2399370335,1109978.2712505823,978219.2379199679
2034-04-01,1129281.5843005083,1109459.524888435,952314.1934844209
2034-05-01,1104407.9379335877,1115139.049378358,945838.6988827009
2034-06-01,1120689.8050386051,1147338.803572474,925925.2111544865
2034-07-01,1124918.0568443357,1144929.5538511302,937505.7594016603
2034-08-01,1116516.9958994717,1137723.5755026445,939298.0535938262
2034-09-01,1092843.2332838872,1126533.9737934784,949750.6489802904
2034-10-01,1087040.8856479214,1144973.0957180765,961050.9711976511
2034-11-01,1087207.3990487796,1131690.241716815,942310.9161185281
2034-12-01,1069922.529276248,1153490.146183532,934296.1175355724
2035-01-01,1055172.8281425487,1170527.65713345,933709.8555684247
2035-02-01,1055623.9583434123,1166902.6134443071,936286.8233671598
2035-03-01,1077642.4328105205,1168703.4572400686,936711.9401672957
2035-04-01,1077715.746563619,1182193.5966963281,932640.3940122693
2035-05-01,1076942.3460301901,1163720.062128469,935585.6861678379
2035-06-01,1067427.9534723496,1170932.3444955745,922069.6433569731
2035-07-01,1098893.16308227,1163892.0976385046,953229.5782661788
2035-08-01,1093763.185343788,1172875.1118500547,942074.0290067153
2035-09-01,1117755.350022421,1163679.2255311785,946061.2570717982
2035-10-01,1126989.361719479,1162929.6427436466,950753.1135118514
2035-11-01,1130396.493673436,1177284.7851536656,945581.012365087
2035-12-01,1132934.8710179613,1163603.2053086008,950422.8589911185
2036-01-01,1124549.8118340056,1169335.178325461,973296.6751469598
2036-02-01,1137848.5787061092,1159419.2163439768,980390.0782668196
2036-03-01,1147076.9806125853,1176258.6357433507,988074.1022795046
2036-04-01,1136243.0251087649,1165954.1641591324,1011840.230183795
2036-05-01,1108723.6641599347,1170691.796243398,1016369.9951190699
2036-06-01,1132149.6759199996,1170251.2448486444,1023584.671673239
2036-07-01,1123585.6998093089,1157400.439572859,996557.6753200985
2036-08-01,1120878.8242806825,1158372.5003703306,1004491.23464483
2036-09-01,1149714.0248214763,1150292.6322613624,985333.8393403636
2036-10-01,1131337.1200127068,1154399.2481907806,997516.1725505445
2036-11-01,1110483.043133721,1126125.0950775302,1019914.9925176663
2036-12-01,1094435.7212914284,1117949.2414266218,1014509.4167455739
2037-01-01,1095458.6626154876,1114738.2869284789,1004871.3760354439
2037-02-01,1104947.1212205917,1124661.3267499816,986025.8639813658
2037-03-01,1094351.9352094943,1120194.4758315487,980714.184221423
2037-04-01,1100827.1392014537,1152860.9388262057,964730.2296834183
2037-05-01,1112274.5636596084,1153161.3868332196,973505.5737065724
2037-06-01,1109986.6638731249,1131736.230698475,974926.8424772598
2037-07-01,1104369.3900235123,1112388.4829670296,970646.5889514951
