,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1099320.769503895,1108963.4877409502,1114997.315207501,1123529.8654327167,1094060.9148027967
2025-05-01,1083914.9107290504,1102867.161654904,1115335.4946518065,1120973.5195925299,1079304.0753105427
2025-06-01,1085305.2704628264,1104019.5962685323,1114593.7206239654,1125983.3872439985,1054482.000739807
2025-07-01,1072543.6591421254,1101809.3374494936,1116781.5544184605,1132368.2032132042,1030198.3741637049
2025-08-01,1064590.2847393372,1102407.1612747265,1126891.1888948327,1142066.714671868,1012464.6509869146
2025-09-01,1070842.792020211,1106404.3988960716,1139602.0781733582,1164351.7745811653,1003809.5876147901
2025-10-01,1069844.7732993583,1106301.2575189108,1142478.4859032934,1166468.7853210166,991403.7593278107
2025-11-01,1056830.5630568785,1103594.2592490232,1142022.3922442992,1166769.838996885,987584.4085841245
2025-12-01,1054838.7681288389,1101266.4340921252,1146816.6295403468,1158159.9874132148,988676.9052540045
2026-01-01,1046228.5858648163,1103954.9918596044,1165482.5376877883,1173716.197035635,991692.3001286006
2026-02-01,1055425.1547457355,1114531.4845140749,1179196.3449785423,1203755.1833633138,992355.7066635893
2026-03-01,1054569.2556670322,1109632.0459884987,1189015.4615880663,1226704.7180671622,983806.272736582
2026-04-01,1071884.473295124,1114541.896966721,1190899.6375454918,1250724.9380195823,979320.6738814733
2026-05-01,1076929.7989225877,1127515.2408771398,1211153.7308960485,1260720.122362137,985170.7022742532
2026-06-01,1057504.0259695386,1138686.5368817803,1212112.076252273,1256784.410043278,990425.135303308
2026-07-01,1034589.3791014692,1143715.0487728468,1205043.18143279,1239542.4288895454,1000262.2454480527
2026-08-01,1022250.7505613903,1140898.9006512414,1203769.0969028366,1239310.9194634524,997153.1541900006
2026-09-01,1032146.8182289287,1141726.9496595776,1210052.9696055173,1262062.1284290678,1000304.2120238226
2026-10-01,1038494.3129634024,1151081.1478642405,1213364.144232818,1297495.135098157,993467.4267173503
2026-11-01,1042798.397417694,1156813.5533315926,1201101.0145497671,1323731.0759475948,987910.6794950764
2026-12-01,1036923.0427766575,1164993.1817981752,1206396.3531839002,1326688.4576961838,983851.853036277
2027-01-01,1045380.5552485381,1161785.010317003,1221113.8467115676,1323716.225116815,993825.6627634708
2027-02-01,1046772.8584828754,1160125.4897817383,1241898.2665253475,1320981.6748334235,1014268.0016023673
2027-03-01,1042003.3681831396,1163316.305381124,1243821.5555801678,1316688.7334661423,1010107.4514404329
2027-04-01,1059938.7492148776,1175395.95366576,1263205.5105042125,1312022.7577704468,1015031.4089009985
2027-05-01,1069443.066556186,1173994.0882488226,1275961.524692932,1326846.9407727611,1005458.2605230428
2027-06-01,1068593.644753882,1175915.354215792,1286116.0233699293,1317964.8887159587,1006548.9509598177
2027-07-01,1064485.5668932556,1179627.1376832698,1289987.202594207,1312527.3537420118,1003518.4000559441
2027-08-01,1057371.6388551458,1186735.6276655444,1302964.7800720388,1335869.5414521853,989652.2143021026
2027-09-01,1064693.8456016884,1178508.3524245634,1308364.8509754494,1350981.4405939942,990393.419297725
2027-10-01,1074012.0763094625,1162791.724831898,1299793.9238050631,1349335.426647687,1000929.5059290917
2027-11-01,1068613.432042127,1164545.1291398806,1297236.082494329,1357526.0332862756,996637.8568751632
2027-12-01,1064787.4052023855,1164686.6010381733,1295447.3330996805,1356402.1677714686,989517.0341002858
2028-01-01,1062640.0456375184,1167151.6590093123,1304595.163962957,1360670.4343261614,999030.0955937881
2028-02-01,1063945.2199965937,1178530.069345479,1343966.2883739918,1386930.1527221736,1012421.2232787475
2028-03-01,1072255.2525227624,1181399.5880882787,1371259.9928325107,1422461.6624106688,1023064.0974352051
2028-04-01,1075555.8499254785,1200685.5764007755,1383789.4496754364,1454322.8266823557,1029422.2130570833
2028-05-01,1084586.8672191035,1213431.6177197385,1402998.7662490571,1484923.254508692,1037969.8576475934
2028-06-01,1074632.9058690567,1224760.7021943475,1410146.732968486,1505767.7751446874,1025706.8707428771
2028-07-01,1064217.9466472068,1233490.0894688019,1412805.880379318,1531998.107725119,1019564.2948606792
2028-08-01,1066921.885998724,1245971.7318218455,1436738.39005295,1538001.8470936224,1015310.2973318959
2028-09-01,1064559.0251081209,1250832.7826812118,1456832.1243002072,1573102.2007830748,1027991.3953463795
2028-10-01,1064457.2199020481,1254521.3925514924,1482182.8958951125,1604817.5481271374,1033664.2730291138
2028-11-01,1064705.838789634,1265504.3767676312,1476934.5046810939,1635077.068234416,1040104.9554453371
2028-12-01,1063211.3960365,1259673.9803869105,1490291.536097055,1670776.834902021,1052480.2848070257
2029-01-01,1061178.035167196,1260753.749952082,1510784.758845706,1711922.517599194,1055943.0672882283
2029-02-01,1071592.9392688025,1263149.8525953295,1543894.379546302,1767588.711815741,1057948.0436921609
2029-03-01,1069424.3407206654,1263264.0153900112,1578082.5966705924,1788307.787137419,1043514.2838165867
2029-04-01,1072456.7096335148,1269670.6060619568,1614470.2420983373,1797704.2650988565,1036807.9741858768
2029-05-01,1065382.4595072437,1287637.6849353134,1628392.4520046653,1805425.2253128253,1036689.1198566644
2029-06-01,1079688.9057263974,1301454.922769384,1630254.200610198,1802232.2664058374,1040347.8344035853
2029-07-01,1085531.8216859023,1307665.9160857971,1604435.9085035233,1794665.9418979501,1046507.7189240201
2029-08-01,1078525.237956448,1311956.578987619,1601592.20797251,1792715.7916866888,1032792.2733271536
2029-09-01,1073688.3243403726,1314806.6445942258,1628910.081441626,1806963.7301214288,1017177.75270256
2029-10-01,1075349.7686987387,1313932.4320795694,1630778.9039373582,1791725.4340668884,1010227.2246964192
