,iter_0,iter_1,iter_2
2025-04-01,1085640.811003539,1076336.1472367356,1079280.9954345627
2025-05-01,1083615.9980356316,1086756.052766062,1086457.6213587609
2025-06-01,1091106.6489064656,1076001.2906786236,1083565.198483563
2025-07-01,1051836.6839807895,1080701.639998928,1085955.541159763
2025-08-01,1040754.934906952,1079595.8823508162,1087097.8555900683
2025-09-01,1058076.431979379,1078483.50064539,1074964.0959833993
2025-10-01,1033387.7740087396,1065119.0088039215,1090638.6025287558
2025-11-01,1029454.6162725146,1056159.0072701205,1094164.908762766
2025-12-01,1006675.4740648444,1039634.9645552814,1087458.6498915695
2026-01-01,1017747.8082257471,1053065.5004429366,1111774.7809102146
2026-02-01,992615.1899383949,1024221.8085203236,1093876.0107476301
2026-03-01,981960.3759276015,1032070.6117387778,1099665.526019675
2026-04-01,972583.0747582917,1041310.5298546155,1098798.6493147288
2026-05-01,973636.0075065726,1034670.6835341445,1088995.3532600075
2026-06-01,989284.7102507404,1039437.1639247423,1119045.8661829839
2026-07-01,986227.9083775718,1034369.01445023,1125115.5441738665
2026-08-01,973873.4205416326,1044167.4403199274,1113109.6739697664
2026-09-01,981956.906569485,1037985.5743039104,1106367.0360583733
2026-10-01,998797.6935149257,1027336.9097332871,1121080.9028773417
2026-11-01,999288.3904101927,1031368.1781226149,1130467.6268936445
2026-12-01,1009523.2317236458,1024922.1195583984,1137785.8467244047
2027-01-01,1007599.3651747289,1010948.463734087,1116674.9284123853
2027-02-01,1008611.5601578824,1001237.7004189605,1100751.4874014414
2027-03-01,1006614.8236783757,997513.1253521732,1131881.4278885166
2027-04-01,996060.0137932757,981971.6498258981,1127446.0234505017
2027-05-01,988776.7510287598,991446.3715220648,1125045.1049026328
2027-06-01,1008208.7379199112,983648.9291802145,1126479.8454269364
2027-07-01,1013843.8448893029,1015832.2935084875,1119186.450650443
2027-08-01,1004206.2090906006,1020961.693717662,1117112.2137283492
2027-09-01,992612.3262877417,1023689.7965789502,1110577.7381730624
2027-10-01,993103.9240907383,1030541.4042865731,1108537.8444761822
2027-11-01,1002959.9755973502,1035046.6901379783,1105797.173796573
2027-12-01,985750.8093952383,1039321.2284186713,1091688.7329818804
2028-01-01,1014260.4546759257,1028389.3234808624,1092888.6062937882
2028-02-01,1008110.1117001489,1038874.534701332,1098108.6883855993
2028-03-01,1017144.2161803219,1028475.4350934698,1082326.0144213405
2028-04-01,1024295.4111935223,1026043.0076039635,1109578.8160342744
2028-05-01,1035422.2321700827,1047688.2310809679,1110091.638055735
2028-06-01,1010305.087878782,1032649.8682021089,1113517.5845221255
2028-07-01,986155.0366801837,1050774.9678938983,1114389.6359083157
2028-08-01,983561.9229324985,1028169.9148115653,1115946.7257194477
2028-09-01,983534.6038475691,1018557.2823574889,1109972.1408738366
2028-10-01,981549.7794784751,997219.2056227162,1117847.0021154704
2028-11-01,985960.4123416357,996937.2105370037,1107352.6090239333
2028-12-01,987397.0847784777,977297.836012572,1110529.2638349556
2029-01-01,974030.764140857,998779.2856728326,1106929.7093973057
2029-02-01,987283.2033381364,984605.8538794504,1115870.7472138375
2029-03-01,982901.4428598124,981798.234033505,1103549.803786025
2029-04-01,987673.6455873604,993974.0276752784,1109144.332558263
2029-05-01,989783.3906888525,974664.7032633278,1119461.4141392559
2029-06-01,1008199.0996022443,973134.8950185151,1101341.9532915794
2029-07-01,1002426.4916697289,971477.0228329325,1089027.9765122607
2029-08-01,992150.5528151891,980699.9830206126,1102549.5355195939
2029-09-01,989448.4317672463,991610.3141627413,1101802.510715057
2029-10-01,983314.0264391648,984560.2065336629,1085627.57548744
2029-11-01,975748.7923695032,990114.6386704716,1082421.5785416826
2029-12-01,986572.4350024087,989349.950744786,1064909.4980878457
2030-01-01,992325.5944744393,980856.4820505248,1062624.1769747015
2030-02-01,998846.1286623141,972168.1924213629,1067218.2974140837
2030-03-01,984777.8163564793,981200.538931498,1047122.7863985992
2030-04-01,986454.4430420948,971693.6395913196,1037001.8608246954
2030-05-01,999135.485708019,976505.3896384006,1029344.2754452837
2030-06-01,981606.9451072592,971774.9917650046,1030369.6243759724
2030-07-01,987091.8868090863,980547.6322136756,1033583.7237682453
2030-08-01,985712.578253778,983052.1669641224,1023616.5551890814
