,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1076925.116876301,1079280.9954345627,1084368.8478897437,1085640.811003539,1076336.1472367356
2025-05-01,1084184.3227002574,1086457.6213587609,1086696.3664846017,1086756.052766062,1083615.9980356316
2025-06-01,1077514.0722396115,1083565.198483563,1089598.3588218852,1091106.6489064656,1076001.2906786236
2025-07-01,1057609.6751844173,1080701.639998928,1084904.760927596,1085955.541159763,1051836.6839807895
2025-08-01,1048523.1243957249,1079595.8823508162,1085597.4609422178,1087097.8555900683,1040754.934906952
2025-09-01,1061453.964780183,1074964.0959833993,1077779.6197129919,1078483.50064539,1058076.431979379
2025-10-01,1039734.020967776,1065119.0088039215,1085534.683783789,1090638.6025287558,1033387.7740087396
2025-11-01,1034795.4944720358,1056159.0072701205,1086563.728464237,1094164.908762766,1029454.6162725146
2025-12-01,1013267.3721629318,1039634.9645552814,1077893.912824312,1087458.6498915695,1006675.4740648444
2026-01-01,1024811.346669185,1053065.5004429366,1100032.924816759,1111774.7809102146,1017747.8082257471
2026-02-01,998936.5136547807,1024221.8085203236,1079945.170302169,1093876.0107476301,992615.1899383949
2026-03-01,991982.4230898367,1032070.6117387778,1086146.5431634956,1099665.526019675,981960.3759276015
2026-04-01,986328.5657775565,1041310.5298546155,1087301.025422706,1098798.6493147288,972583.0747582917
2026-05-01,985842.9427120871,1034670.6835341445,1078130.419314835,1088995.3532600075,973636.0075065726
2026-06-01,999315.2009855408,1039437.1639247423,1103124.1257313355,1119045.8661829839,989284.7102507404
2026-07-01,995856.1295921035,1034369.01445023,1106966.2382291392,1125115.5441738665,986227.9083775718
2026-08-01,987932.2244972915,1044167.4403199274,1099321.2272397985,1113109.6739697664,973873.4205416326
2026-09-01,993162.64011637,1037985.5743039104,1092690.7437074806,1106367.0360583733,981956.906569485
2026-10-01,1004505.5367585979,1027336.9097332871,1102332.1042485307,1121080.9028773417,998797.6935149257
2026-11-01,1005704.347952677,1031368.1781226149,1110647.7371394385,1130467.6268936445,999288.3904101927
2026-12-01,1012603.0092905964,1024922.1195583984,1115213.1012912034,1137785.8467244047,1009523.2317236458
2027-01-01,1008269.1848866005,1010948.463734087,1095529.6354767256,1116674.9284123853,1007599.3651747289
2027-02-01,1002712.4723667449,1008611.5601578824,1082323.5019527297,1100751.4874014414,1001237.7004189605
2027-03-01,999333.4650174137,1006614.8236783757,1106828.1070464884,1131881.4278885166,997513.1253521732
2027-04-01,984789.3226193737,996060.0137932757,1101168.8215190566,1127446.0234505017,981971.6498258981
2027-05-01,989310.6751274208,991446.3715220648,1098325.358226519,1125045.1049026328,988776.7510287598
2027-06-01,988560.8909281539,1008208.7379199112,1102825.6239255313,1126479.8454269364,983648.9291802145
2027-07-01,1014241.5346131398,1015832.2935084875,1098515.619222052,1119186.450650443,1013843.8448893029
2027-08-01,1007557.3060160129,1020961.693717662,1097882.1097262118,1117112.2137283492,1004206.2090906006
2027-09-01,998827.8203459834,1023689.7965789502,1093200.14985424,1110577.7381730624,992612.3262877417
2027-10-01,1000591.4201299052,1030541.4042865731,1092938.5564382605,1108537.8444761822,993103.9240907383
2027-11-01,1009377.3185054758,1035046.6901379783,1091647.077064854,1105797.173796573,1002959.9755973502
2027-12-01,996464.8931999248,1039321.2284186713,1081215.2320692386,1091688.7329818804,985750.8093952383
2028-01-01,1017086.228436913,1028389.3234808624,1079988.749731203,1092888.6062937882,1014260.4546759257
2028-02-01,1014262.9963003856,1038874.534701332,1086261.8576487459,1098108.6883855993,1008110.1117001489
2028-03-01,1019410.4599629515,1028475.4350934698,1071555.8985557663,1082326.0144213405,1017144.2161803219
2028-04-01,1024644.9304756105,1026043.0076039635,1092871.6543482123,1109578.8160342744,1024295.4111935223
2028-05-01,1037875.4319522597,1047688.2310809679,1097610.9566607815,1110091.638055735,1035422.2321700827
2028-06-01,1014774.0439434473,1032649.8682021089,1097344.0412581223,1113517.5845221255,1010305.087878782
2028-07-01,999079.0229229266,1050774.9678938983,1101666.7023054322,1114389.6359083157,986155.0366801837
2028-08-01,992483.5213083118,1028169.9148115653,1098391.3635378713,1115946.7257194477,983561.9229324985
2028-09-01,990539.139549553,1018557.2823574889,1091689.169170567,1109972.1408738366,983534.6038475691
2028-10-01,984683.6647073233,997219.2056227162,1093721.4428169196,1117847.0021154704,981549.7794784751
2028-11-01,988155.7719807093,996937.2105370037,1085269.5293265474,1107352.6090239333,985960.4123416357
2028-12-01,979317.6857657532,987397.0847784777,1085902.82802366,1110529.2638349556,977297.836012572
2029-01-01,978980.4684472522,998779.2856728326,1085299.624652411,1106929.7093973057,974030.764140857
2029-02-01,985141.3237711876,987283.2033381364,1090153.2384386973,1115870.7472138375,984605.8538794504
2029-03-01,982018.8757987665,982901.4428598124,1079420.1316007825,1103549.803786025,981798.234033505
2029-04-01,988933.722004944,993974.0276752784,1086110.271581666,1109144.332558263,987673.6455873604
2029-05-01,977688.4407484328,989783.3906888525,1093525.8094491751,1119461.4141392559,974664.7032633278
2029-06-01,980147.7359352609,1008199.0996022443,1082713.3825537125,1101341.9532915794,973134.8950185151
2029-07-01,977666.9166002919,1002426.4916697289,1071707.6795437543,1089027.9765122607,971477.0228329325
2029-08-01,982990.096979528,992150.5528151891,1080469.7389787128,1102549.5355195939,980699.9830206126
2029-09-01,989880.8082463454,991610.3141627413,1079764.0714045938,1101802.510715057,989448.4317672463
2029-10-01,983563.2624580644,984560.2065336629,1065414.1016966845,1085627.57548744,983314.0264391648
2029-11-01,978621.9616296969,990114.6386704716,1063960.1905674404,1082421.5785416826,975748.7923695032
2029-12-01,987127.9381508841,989349.950744786,1049797.5886192338,1064909.4980878457,986572.4350024087
2030-01-01,983150.3045353077,992325.5944744393,1048564.460474649,1062624.1769747015,980856.4820505248
2030-02-01,977503.7796695532,998846.1286623141,1053543.8636637297,1067218.2974140837,972168.1924213629
2030-03-01,981915.9944164943,984777.8163564793,1034653.7923901752,1047122.7863985992,981200.538931498
2030-04-01,974645.8002814746,986454.4430420948,1026892.3772681754,1037001.8608246954,971693.6395913196
2030-05-01,981031.4088523244,999135.485708019,1023302.5174978308,1029344.2754452837,976505.3896384006
2030-06-01,973741.3824334556,981606.9451072592,1020617.0885222298,1030369.6243759724,971774.9917650046
2030-07-01,981856.4831327578,987091.8868090863,1024285.3563764135,1033583.7237682453,980547.6322136756
2030-08-01,983584.2492220536,985712.578253778,1016035.7598020207,1023616.5551890814,983052.1669641224
2030-09-01,977305.0308196417,994102.5906117911,1017441.2082018673,1023275.8625993864,973105.6408716043
2030-10-01,986269.7297886041,988670.6951462877,1019179.0389299785,1026806.1248759013,985669.4884491832
2030-11-01,985416.071536831,986056.1470549192,997182.0944769232,999963.5813324242,985256.052657309
2030-12-01,998172.816684472,1002095.8921043423,1010804.0353077834,1012981.0711086437,997192.0478295045
2031-01-01,996455.7793187248,997241.0172164269,1014709.514119481,1019076.6383452445,996259.4698442993
2031-02-01,992086.6744121643,1008679.0383804009,1010663.8285147302,1011160.0260483125,987938.583420105
2031-03-01,994992.578932354,1003009.1547895719,1012284.1389895631,1014602.8850395608,992988.4349680495
2031-04-01,995340.4925235737,1002947.5199108651,1007491.8617048435,1008627.9471533381,993438.7356767509
2031-05-01,999636.072610915,1014223.5805548091,1018560.1607834728,1019644.3058406388,995989.1956249416
2031-06-01,1011531.1304207051,1012775.2915932904,1019772.6523968744,1021521.9925977704,1011220.0901275587
2031-07-01,994025.9327277743,995797.0958806927,1006119.403133674,1008699.9799469193,993583.1419395446
2031-08-01,981523.1832998531,995480.6789868297,1025414.6150046095,1032898.0990090544,978033.8093781089
2031-09-01,984933.3227748314,1017549.6633648055,1035260.5774744443,1039688.306001854,976779.2376273379
2031-10-01,996129.5744705198,1010679.675934494,1042087.0012859176,1049938.8326237735,992492.0491045263
2031-11-01,1003775.6014621094,1006581.8787765747,1026230.4151290258,1031142.5492171386,1003074.032133493
2031-12-01,1001924.5101791343,1023577.0505099695,1030521.0030115384,1032256.9911369307,996511.3750964255
2032-01-01,994632.386103592,1030919.6927577998,1032668.9602637391,1033106.277140224,985560.55944004
2032-02-01,1004186.1182411,1019614.1402553663,1029233.6719533392,1031638.5548778325,1000329.1127375334
2032-03-01,997826.8264521613,1035785.3705246849,1038281.3276507676,1038905.3169322883,988337.1904340304
2032-04-01,993291.7714484793,1047600.7401668578,1047810.1317298184,1047862.4796205586,979714.5292688847
2032-05-01,989433.9749769231,1031669.3711868293,1048751.228178508,1053021.6924264277,978875.1259244465
2032-06-01,995679.3945832753,1061527.9632131,1066200.695558281,1067368.878644576,979217.2524258192
2032-07-01,980116.7697369391,1053077.430767182,1064757.6122334364,1067677.6576,961876.6044793784
2032-08-01,988207.9303565535,1056144.4116463992,1081965.3319763388,1088420.5620588236,971223.810034092
2032-09-01,974129.7237647893,1059424.330396833,1090365.0781453175,1098100.2650824387,952806.0721067784
2032-10-01,970614.6855901172,1071712.425820213,1093702.483514004,1099199.9979374516,945340.2505325932
2032-11-01,967473.4069839579,1089421.4330395656,1095942.1926617243,1097572.382567264,936986.4004700559
2032-12-01,971252.3718012797,1083337.0235518487,1111410.772388854,1118429.2095981054,943231.2088636374
2033-01-01,971980.8544085477,1098712.9122864797,1104352.103768132,1105761.9016385449,940297.8399390647
2033-02-01,990744.954630364,1096681.617356836,1099167.6031481773,1099789.0995960126,964260.7889487459
2033-03-01,994394.5354219876,1092104.7340225535,1113806.3524858288,1119231.7571016476,969966.9857718461
2033-04-01,1017945.6279826777,1110004.1007440495,1132235.5364726065,1137793.3954047456,994931.0097923346
2033-05-01,1029894.8638143311,1114606.2145315495,1129103.9365475096,1132728.3670514997,1008717.0261350265
2033-06-01,1048292.6262829338,1135423.5627567149,1142472.9792597417,1144235.3333854985,1026509.8921644884
2033-07-01,1052110.1517001153,1131492.1462856578,1144789.669763295,1148114.0506327043,1032264.6530537297
2033-08-01,1045591.6864997216,1113368.669080016,1139453.47999525,1145974.6827240584,1028647.440854648
2033-09-01,1037847.0764510112,1100620.185567634,1129959.284902695,1137294.0597364604,1022153.7991718556
2033-10-01,1042245.9028906552,1092118.6919173007,1121689.642429628,1129082.3800577098,1029777.7056339938
2033-11-01,1057757.7274737107,1094366.6598106846,1134669.3693230394,1144745.0467011281,1048605.4943894672
2033-12-01,1056948.3395280223,1086324.7619416204,1138498.522189035,1151541.9622508888,1049604.2339246229
2034-01-01,1057745.5094199723,1095419.4356109747,1125882.1461765491,1133497.8238179428,1048327.0278722218
2034-02-01,1048174.408296121,1103812.1147985589,1111663.9439195548,1113626.901199804,1034264.9816705117
2034-03-01,1045814.2091139727,1105229.6420740106,1107843.3306102378,1108496.7527442947,1030960.3508739632
2034-04-01,1033215.5078044734,1097706.4920294082,1100194.5967906755,1100816.6229809923,1017092.7617482397
2034-05-01,1030514.2179206342,1097121.0638340195,1107732.4577802098,1110385.3062667574,1013862.5064422878
2034-06-01,1018844.3636938233,1100236.5547690885,1135044.562820801,1143746.564833729,998496.315925007
2034-07-01,1032901.8557689779,1114955.9649870652,1134742.6504255552,1139689.3217851778,1012388.3284644561
2034-08-01,1033404.6722465185,1109929.305525527,1126539.2426992324,1130691.7269926588,1014273.5139267665
2034-09-01,1036556.6449595015,1087707.1037683017,1118566.049166931,1126280.7855165885,1023769.0302573014
2034-10-01,1044185.7838652512,1085201.8940712481,1132934.2529539969,1144867.342674684,1033931.756313752
2034-11-01,1028055.1178632434,1089590.2344935506,1121537.974789614,1129524.90986363,1012671.3387056667
2034-12-01,1019872.4459119006,1073754.5554867615,1135724.6544383122,1151217.1791762,1006401.9185181854
2035-01-01,1018878.7122882172,1060174.47850474,1142253.4100865843,1162773.1429820454,1008554.7707340864
2035-02-01,1022678.687379287,1060205.9723238933,1136836.3313405653,1155993.9210947333,1013296.8661431354
2035-03-01,1029994.1612840215,1081196.4870098156,1141901.809422185,1157078.1400252774,1017193.5798525729
2035-04-01,1028625.9143868957,1081528.290897107,1152482.0341575895,1170220.4699727101,1015400.3202593429
2035-05-01,1042718.6793397033,1095757.3222957924,1142082.6262327791,1153663.9522170257,1029459.018600681
2035-06-01,1034928.2849767269,1081350.801834782,1147892.9319505922,1164528.464479545,1023322.655762213
2035-07-01,1068867.326172552,1111381.0991639527,1148097.4012619052,1157276.4767863934,1058238.8829247018
2035-08-01,1058365.0002504408,1105999.2554467248,1154378.9214385445,1166473.8379364994,1046456.4364513697
2035-09-01,1067316.037363327,1128419.6185278792,1153034.5125266619,1159188.2360263576,1052040.1420721891
2035-10-01,1073954.971793064,1136042.9012310272,1154238.706548391,1158787.6578777318,1058432.989433573
2035-11-01,1066807.1902898375,1130560.24293238,1164892.084933745,1173475.0454340861,1050868.927129202
2035-12-01,1069554.0156348958,1131121.56233955,1153839.8523033133,1159519.4247942541,1054162.1289587321
2036-01-01,1087774.0705752734,1119829.7076312825,1156049.8524772068,1165104.888688688,1079760.1613112711
2036-02-01,1094110.7290815222,1132689.8843570678,1146519.469003267,1149976.8651648166,1084465.9402626357
2036-03-01,1105715.0218283972,1144532.2734901095,1162346.4147236831,1166799.9500320766,1096010.708912969
