,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1076945.1229667938,1079413.3610393545,1080707.868215213,1081031.4950091776,1076328.0634486536
2025-05-01,1078491.5829968066,1081159.8018434935,1083293.833536515,1083827.3414597705,1077824.5282851348
2025-06-01,1077528.727665191,1086494.7577006612,1087295.7263941434,1087495.968567514,1075287.2201563234
2025-07-01,1064600.4255838166,1074814.874736892,1088936.812121139,1092467.2964672006,1062046.8132955479
2025-08-01,1055159.1598965335,1076406.4795600858,1082427.0835686403,1083932.234570779,1049847.3299806453
2025-09-01,1066049.9980927529,1070132.6222143394,1073062.3265313627,1073794.7526106185,1065029.3420623562
2025-10-01,1046367.3098489159,1052052.648847725,1087613.79513334,1096504.0817047437,1044945.9750992137
2025-11-01,1043337.7650279495,1047171.2208456412,1096406.7459508937,1108715.6272272067,1042379.4010735266
2025-12-01,1022598.6778499515,1036675.9749281186,1082612.6533224368,1094096.8229210163,1019079.3535804098
2026-01-01,1031599.3827275368,1048948.7065527092,1097576.2792676557,1109733.1724463922,1027262.0517712438
2026-02-01,1006806.5997259587,1021198.4799361485,1075593.3085784595,1089192.0157390374,1003208.6296734111
2026-03-01,1002399.5363649719,1031638.4304961755,1081096.1387505438,1093460.5658141358,995089.812832171
2026-04-01,997441.5095372059,1036360.4063196665,1080348.4053984971,1091345.4051682048,987711.7853415908
2026-05-01,995081.936476929,1036979.9127873997,1083216.057464967,1094775.0936343588,984607.4423993113
2026-06-01,1006273.0756172162,1041861.4279685448,1097714.2544451847,1111677.4610643447,997375.9875293841
2026-07-01,1010875.7802210962,1046495.1731864685,1095098.7253456519,1107249.6133854475,1001970.9319797532
2026-08-01,1002196.5251294305,1064767.6334566362,1100629.0313365436,1109594.3808065206,986553.748047629
2026-09-01,1012890.2994767465,1058195.5722625877,1093639.1981809253,1102500.1046605099,1001563.9812802862
2026-10-01,1024891.4418711072,1050742.4364706383,1103773.0129401104,1117030.6570574783,1018428.6932212245
2026-11-01,1029117.554532842,1053193.5103075132,1108876.2055848246,1122796.8794041525,1023098.5655891743
2026-12-01,1030204.9200104803,1043439.93710212,1109448.3818025799,1125950.4929776948,1026896.1657375704
2027-01-01,1020997.5622760826,1028626.9423953283,1106057.053888672,1125414.581762008,1019090.2172462712
2027-02-01,1018971.5321863096,1023568.6661128323,1093613.6387404036,1111124.8818972963,1017822.2487046788
2027-03-01,1015129.1939993805,1022557.740231532,1115727.3712402715,1139019.7789924564,1013272.0574413426
2027-04-01,1003030.0051444481,1010237.1685847342,1108459.590886374,1133015.196461784,1001228.2142843766
2027-05-01,1006885.0230530063,1019810.9430930556,1105502.293395887,1126925.1309715947,1003653.543042994
2027-06-01,1011215.6417998646,1022453.1428013276,1110890.8013859617,1133000.2160321202,1008406.2665494988
2027-07-01,1003470.4658952598,1030962.6794637523,1120879.1381183877,1143358.2527820466,996597.4125031366
2027-08-01,1012790.6275512237,1022925.7316681677,1125671.7711352939,1151358.2810020754,1010256.8515219877
2027-09-01,1012035.8201638907,1012279.8718928329,1119950.156839073,1146867.7280756328,1011974.8072316551
2027-10-01,1013244.054304474,1021575.3091925094,1120470.8174571176,1145194.6945232695,1011161.2405824652
2027-11-01,1017983.417713047,1019763.016433894,1122361.0284125763,1148010.5314072468,1017538.5180328352
2027-12-01,1015265.359324124,1022062.4097155405,1117209.2340144275,1140995.9400891494,1013566.0967262698
2028-01-01,1019638.8016699217,1031491.4900877501,1127237.2478382823,1151173.6872759154,1016675.6295654647
2028-02-01,1014280.3699936661,1025191.487612108,1132353.157212447,1159143.5746125316,1011552.5905890556
2028-03-01,1014814.5782772916,1025366.1300335663,1114446.8357648242,1136717.0121976386,1012176.6903382229
2028-04-01,1016537.6853301628,1036889.6292019577,1141767.229073743,1167986.6290416894,1011449.6993622141
2028-05-01,1032220.3087945984,1047120.2662771613,1141847.1573684511,1165528.8801412736,1028495.3194239577
2028-06-01,1025972.1031687356,1037324.8190642903,1147168.849957816,1174629.8576811976,1023133.924194847
2028-07-01,1017307.3054789107,1029855.5396830435,1133372.1946796172,1159251.3584287607,1014170.2469278775
2028-08-01,1006279.1406956614,1015056.3457100451,1133822.751461564,1163514.3528994438,1004084.8394420656
2028-09-01,1002352.920245509,1013828.3238605318,1125811.8456211472,1153807.726061301,999484.0693417533
2028-10-01,985534.9837130129,1012669.1329404879,1130790.6994478696,1160321.091074715,978751.4464061441
2028-11-01,986462.2456658588,1020880.5420286112,1121413.9116662415,1146547.254075649,977857.6715751708
2028-12-01,977082.0504123537,1022490.3410408476,1130023.3048794093,1156906.5458390496,965729.9777552303
2029-01-01,992192.5749385774,1015197.1538929017,1118406.9665333321,1144209.4196934397,986441.4301999962
2029-02-01,984639.3993318378,1030290.842961575,1129153.8792280606,1153869.638294682,973226.5384244035
2029-03-01,979056.9711366313,1025269.8490310926,1119562.4534480008,1143135.604552228,967503.751663016
2029-04-01,987480.5327511339,1029681.7025004148,1122432.526080111,1145620.231975035,976930.2403138137
2029-05-01,979994.2227538266,1034137.5555494338,1129987.3178837688,1153949.7584673525,966458.3895549248
2029-06-01,980760.190766654,1050344.926778257,1119303.9324029055,1136543.6838090676,963364.0067637532
2029-07-01,977861.8154305517,1041748.150067791,1113698.041745989,1131685.5146655384,961890.2317712418
2029-08-01,979385.4644252411,1031303.2603375032,1115617.5703557548,1136696.1478603177,966406.0154471756
2029-09-01,984751.7396744117,1027748.0420998022,1110721.5734791164,1131464.956323945,974002.6640680641
2029-10-01,979657.6666139322,1023576.4243274273,1097099.5234250976,1115480.298199515,968677.9771855585
2029-11-01,986477.7198270474,1015394.2321408443,1091600.2031710763,1110651.6959286341,979248.5917485983
2029-12-01,987634.2276888404,1019762.2219497381,1078675.9575784395,1093404.3914856147,979602.2291236159
2030-01-01,984733.3923551105,1030665.1108184734,1074297.135056712,1085205.1411162717,973250.4627392697
2030-02-01,978883.5900947588,1027998.2383904853,1077060.1509172749,1089325.6290489724,966604.9280208271
2030-03-01,981833.1876341287,1015019.5299631038,1065347.9218808222,1077930.0198602518,973536.602051885
