,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1099650.6152091292,1109296.2266956195,1115331.8645819614,1123866.9749562459,1094389.1823149016
2025-05-01,1084809.5095016544,1103777.402485983,1116256.026101905,1121898.7043324246,1080194.8685743713
2025-06-01,1086954.8301596625,1105697.5999418627,1116287.7959499827,1127694.773768561,1056456.436514287
2025-07-01,1075311.3086766223,1104389.5548213087,1118705.5873442248,1134908.884410547,1032974.3550504564
2025-08-01,1068088.4187074592,1105725.9932247952,1129866.3943000892,1145677.2398034541,1016122.4111497132
2025-09-01,1075193.403349211,1110830.5651641292,1141728.571789521,1169185.497687062,1008430.3305997872
2025-10-01,1075308.1151928713,1111660.6581471285,1146485.0096753505,1172529.8826252676,997003.560496098
2025-11-01,1063760.709089798,1111371.3141326322,1148827.5335365443,1172536.1040257155,994235.6970521641
2025-12-01,1062703.416280306,1109823.131092108,1152310.9794129205,1164861.084078299,996438.109824836
2026-01-01,1056291.9900000405,1113945.3043316524,1171410.6178081494,1184194.9379167038,998896.5147748792
2026-02-01,1064873.6443922804,1124860.91345914,1189678.8180327695,1215578.7296135712,999090.9627227775
2026-03-01,1064359.7211627762,1120145.6153283506,1203004.9434784013,1240193.9336538806,991635.1018609478
2026-04-01,1083656.7340997083,1125772.9140165842,1209389.282458809,1265760.0073936726,988270.8808230255
2026-05-01,1089306.461785041,1139894.9333705916,1229753.7319708536,1277497.5998878474,994103.92703936
2026-06-01,1073345.1635261988,1152389.4045777405,1230296.4382839052,1275018.1938463857,1000589.9669745438
2026-07-01,1051320.0406428722,1160970.9929550085,1227452.6459970712,1259020.8557266544,1010766.824957092
2026-08-01,1040390.1726024518,1160861.5623628101,1227936.6752370212,1260441.5271285381,1008825.858455316
2026-09-01,1051237.8255593132,1162593.2580553065,1235070.102597161,1284374.8755591118,1013222.0934437454
2026-10-01,1058959.8716477728,1171665.7286424502,1242435.5109690218,1322013.0878814096,1007412.6842101016
2026-11-01,1064614.1000543747,1174351.9864391356,1233313.9591710723,1350359.1193667236,1002976.9754805061
2026-12-01,1060913.4166859654,1184998.7554524983,1233524.184542437,1355267.7623066723,1000052.7419322781
2027-01-01,1070539.6618398055,1185204.2792578284,1251612.786855498,1353852.256164901,1011401.5799593175
2027-02-01,1073076.8005909254,1190039.654911364,1268096.6343218081,1352007.0767254618,1033443.1747303652
2027-03-01,1068864.530982323,1195467.20908636,1272723.0775726398,1347742.5525193482,1031277.0746924783
2027-04-01,1088799.7605348064,1208134.7488921774,1297117.360297578,1342147.1676624091,1035837.1613310967
2027-05-01,1095655.4522600546,1210423.8587473205,1317227.6797226493,1358218.6007220794,1027259.3982357874
2027-06-01,1095767.339963856,1213502.296620587,1328335.8658235385,1351587.530835706,1029820.6029879618
2027-07-01,1091619.0535067634,1219560.5992592075,1337234.773406042,1346615.1571504623,1035949.6880691651
