,iter_0,iter_1,iter_2
2025-04-01,1111628.1557304258,1077416.6734271378,1079614.8478118025
2025-05-01,1138141.283029325,1105697.9589446883,1117691.9092928297
2025-06-01,1157875.3892245335,1100149.8970703727,1159068.6924881195
2025-07-01,1092508.3018856281,1139548.620607847,1189500.2884911934
2025-08-01,1054388.279815235,1160636.8690037443,1289189.9973711513
2025-09-01,1062642.9040083606,1194293.6720125948,1335350.399516899
2025-10-01,1001875.3733400623,1255767.2033682554,1374357.118294051
2025-11-01,962937.5041045991,1308797.4678543122,1351397.8212501947
2025-12-01,913272.0216319603,1317332.98667101,1368286.9287437587
2026-01-01,909793.9501420446,1353725.7376382577,1485582.8306113875
2026-02-01,867330.149699375,1330464.5742021417,1561535.130529008
2026-03-01,826154.2622657797,1330278.3466838512,1683069.6749863562
2026-04-01,803991.3290051054,1368709.3829251984,1831949.7510833999
2026-05-01,781260.9326484175,1347599.411796432,1860808.5665513217
2026-06-01,794197.517160419,1341754.126614305,1962754.0784578414
2026-07-01,800257.5406916118,1251225.2224845283,2108739.8090421446
2026-08-01,806153.5433610466,1189160.367578203,2262394.326899058
2026-09-01,794419.7338008602,1106570.8128087488,2382642.885179282
2026-10-01,793485.6813533057,993977.5957273105,2588730.0023123007
2026-11-01,764173.7347250475,978182.6371325976,2773460.4617857425
2026-12-01,772158.6704595939,924834.8316941635,2881258.512082002
2027-01-01,764549.5433254564,884541.628048586,2982944.3692823383
2027-02-01,738232.6660766634,857592.606894716,2960728.7075327816
2027-03-01,722573.7186203056,845090.0872950637,3274574.982081133
2027-04-01,715407.1349278775,806690.329776227,3502117.4387682434
2027-05-01,711025.2578833641,772299.4570865184,3635424.126233458
2027-06-01,726479.7699588431,763119.6375612587,3733333.6491990555
2027-07-01,740203.2812615185,760365.744177161,3810107.1268731887
2027-08-01,753725.6740065875,761651.4855960003,3964588.9276930992
2027-09-01,764076.392779356,767693.038745815,4048011.3074033707
2027-10-01,788304.3380570774,783385.465229347,4157929.8584268587
2027-11-01,828641.549520313,802779.1138973308,4104582.44454082
2027-12-01,840295.563273018,831634.2757810972,4112535.1834764015
2028-01-01,862818.5939910695,815943.3891638269,4009175.8894149847
2028-02-01,861871.1775531393,827847.246986538,4117133.4350773566
2028-03-01,857301.5610521523,840294.5778036518,4185331.346343603
2028-04-01,831971.7293445416,838330.7082123617,4230229.8030034015
2028-05-01,824139.3739890102,853555.8214886908,4155470.543608356
2028-06-01,764401.2122866575,844415.7344890295,4061499.07853428
2028-07-01,701659.453806182,861729.1553189155,3976298.893438543
2028-08-01,689258.3272362482,853498.4813303478,4021770.7391905542
2028-09-01,670151.6386721785,843456.5711728984,4027291.914022629
2028-10-01,620756.1555837558,823411.2225115885,4071655.1694606896
2028-11-01,574908.6986970281,820975.470451371,4087632.327909348
2028-12-01,537653.588914549,782143.5163698138,4102238.6693150518
2029-01-01,500301.4686363881,788951.2295771971,4036717.0475184945
2029-02-01,476259.11918292847,770638.0631635856,4016398.124827385
2029-03-01,449861.094080675,780897.4587625783,3826375.759594821
2029-04-01,434487.1334887026,799740.7797332723,3864789.8975987765
2029-05-01,415258.43975586694,802008.65328381,4040495.9106721636
2029-06-01,412445.97192010394,812738.0642590544,4147075.549087997
2029-07-01,405454.4481854537,814468.3367362921,4213752.885529172
2029-08-01,400045.2241034646,866633.3041225839,4282844.231861655
2029-09-01,395140.4279019895,898750.8724929034,4257556.068506514
2029-10-01,389204.16842287325,908030.3850846497,4222988.329191876
2029-11-01,378786.0748874099,896560.3483257671,4258530.517181073
2029-12-01,387003.93190836714,876124.4598766603,4276411.579342313
2030-01-01,390795.84516365314,856581.6312258446,4347496.164957209
2030-02-01,388088.00160463556,825491.8356429645,4544587.282932695
2030-03-01,379753.56233378523,828669.5950129697,4355385.5628615115
2030-04-01,373536.4048743024,810585.4331548705,4142169.2587221256
2030-05-01,363697.738108193,797351.4583967292,4008994.001997149
2030-06-01,360898.5435716393,768337.6707628086,3995001.872533626
2030-07-01,364933.00366565137,756671.8872082384,3714707.8516702643
2030-08-01,375078.4741471115,768346.6334926069,3423295.149201103
2030-09-01,391482.9334656181,744103.1857030332,3196643.394555285
2030-10-01,399768.3680852615,754131.1427607151,2986239.60883793
2030-11-01,414195.51149777905,803528.3710547284,2614369.682035193
2030-12-01,444855.48959988705,879499.6273132819,2371473.1492181974
2031-01-01,452110.8404158228,937760.8213617028,2218417.511987775
2031-02-01,475964.66956681764,990868.6186783904,1983396.4539728886
2031-03-01,478239.31796456967,1071049.251305837,1856017.6036713033
2031-04-01,485278.9258900536,1167005.7320855472,1699663.7779783965
2031-05-01,498242.9646454603,1256499.3528872866,1568959.1023552313
2031-06-01,521123.5352359032,1312896.6791718842,1472112.3066495918
2031-07-01,538107.6375020276,1356134.5927145886,1284744.2634563453
2031-08-01,576996.9324007338,1303652.254972517,1156049.796796566
2031-09-01,605593.2954952538,1241280.5135930998,1057708.3172039608
2031-10-01,649865.8527191223,1204723.333851196,950042.1950270227
2031-11-01,656646.516967937,1152607.8856635755,872394.8344106575
