,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1076932.8079200662,1079251.2670943886,1085607.1404430945,1087196.1087802711,1076353.1931264857
2025-05-01,1087816.1238452825,1087975.8044766784,1088155.7087224324,1088200.6847838708,1087776.2036874336
2025-06-01,1079885.0433786293,1088681.1611888565,1095338.7265217537,1097003.117854978,1077686.0139260725
2025-07-01,1064786.5872644454,1083745.4064856044,1090850.7021966728,1092627.02612444,1060046.8824591555
2025-08-01,1052127.9535221346,1084008.4044619394,1094750.2029810192,1097435.652610789,1044157.8407871834
2025-09-01,1065859.596197577,1084097.5474689533,1087133.8526071208,1087892.9288916625,1061300.1083797328
2025-10-01,1042483.1121099513,1074302.6715938894,1097306.440377867,1103057.3825738614,1034528.2222389668
2025-11-01,1035644.5512550205,1067692.2319613323,1094384.5449490396,1101057.6231959665,1027632.6310784426
2025-12-01,1012195.1787917013,1049273.4766987693,1082562.899528864,1090885.2552363877,1002925.6043149343
2026-01-01,1023407.7579765236,1061253.2374098946,1107073.8186615014,1118528.9639744032,1013946.3881181809
2026-02-01,997632.169345612,1030719.9774278457,1091012.658119036,1106085.8282918334,989360.2173250536
2026-03-01,989075.2005574463,1036376.2563435279,1100191.304406937,1116145.0664227894,977249.936610926
2026-04-01,991506.2328856385,1043863.9868994576,1106651.3112254469,1122348.1423069441,978416.7943821837
2026-05-01,989971.9855449817,1037508.2987139045,1096382.0650510348,1111100.5066353173,978087.9072527509
2026-06-01,1005428.1757518805,1040692.0154717012,1121324.4173662371,1141482.517839871,996612.2158219253
2026-07-01,1003295.0852480542,1031877.9613592029,1123311.6523504308,1146170.075098238,996149.366220267
2026-08-01,996704.1033529469,1036366.7984170113,1109560.1536841309,1127858.4925009108,986788.4295869309
2026-09-01,1000661.3185256737,1021330.5466862051,1102315.9183030121,1122562.2612072139,995494.0114855409
2026-10-01,1009191.5172943292,1011118.8863536317,1112507.0737999512,1137854.120661531,1008709.6750295036
2026-11-01,1009437.0953531759,1010020.3292389925,1122438.918409463,1150543.5657020807,1009291.2868817217
2026-12-01,1006340.097487966,1020000.7702497222,1128580.6390137726,1155725.6062047852,1002924.9292975268
2027-01-01,996231.2268165823,1018617.2736244128,1116481.859659691,1140948.0061685108,990634.7151146246
2027-02-01,989875.4654928911,1018543.0665335369,1101929.6819718226,1122776.335831394,982708.5652327298
2027-03-01,986288.273157533,1012946.1650478488,1123839.8374043535,1151563.2554934798,979623.8001849541
