,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2025-04-01,1123305.18192873,1113159.5512065636,1110728.6120773412,1105394.4362714002,1108720.7688235978,1095614.7266458783,1108271.4117977514,1109196.2095875663,1103787.8919938165,1118130.3528176376,1106819.3589959978,1101949.1387567574,1113277.7295911259,1106574.0722197087,1109532.1354705587,1113980.2080202322,1108762.6656187878,1114401.4475123954,1099488.2829670627,1093842.1244995943
2025-05-01,1116852.0040098063,1106757.56190647,1101032.1346555245,1103489.3683326233,1096425.501899091,1078710.6212839405,1095209.3977986642,1104249.429425622,1083410.4769858562,1114485.5871025953,1097653.5663469082,1105313.829038215,1120357.153672921,1098300.392689706,1105481.4090468679,1111974.7508262114,1106305.1682906663,1098727.7795832374,1082494.92152957,1089522.703736833
2025-06-01,1111981.7874327195,1116150.695462438,1095324.7517594716,1107233.1054477624,1096106.69427191,1074434.2323668248,1106963.2001016915,1100965.0600147857,1053414.8780360909,1104839.6242505373,1089613.6374226343,1105326.3634798937,1124843.9060241291,1106738.3791713095,1096080.8044864363,1109355.0911986018,1113230.1649630333,1094946.683647679,1089473.2319891646,1085292.8130620385
2025-07-01,1096598.0024137937,1110574.7910709055,1105891.4926989852,1112786.8055718231,1092266.2647393541,1057662.6818465684,1114675.742445832,1100249.4891900378,1028593.1604643269,1108703.3080026547,1072340.218374486,1109877.054084607,1118332.620864391,1097754.803123525,1100230.2336602474,1106735.5804189744,1130603.7925927609,1078745.3100015086,1087833.0029450355,1083549.5792122816
2025-08-01,1096938.7152494483,1090552.7715881495,1114417.9769397534,1131222.2021247041,1082273.7068951912,1063200.1753083584,1123861.4929841359,1107366.8939856766,1010270.4583324927,1102073.1846168272,1053827.2899805927,1110073.6061009993,1119123.306554765,1097196.357283578,1110856.3531065374,1103201.335680978,1139591.651079524,1067089.702861567,1083840.768842266,1095313.7759383062
2025-09-01,1095770.94439845,1087625.2945164123,1121409.0177401395,1141567.9418921503,1090670.17226691,1075142.4922796695,1133066.4198077428,1115187.8945646111,1000975.6767385375,1102470.4602779092,1049529.5100989698,1103717.1467467295,1133482.3416662724,1103595.2953555926,1124101.4421443308,1098868.3019252832,1161064.628095934,1070564.2651050985,1083556.9071515298,1111131.2132831053
2025-10-01,1087818.9616330394,1082526.4679699666,1134916.4294766542,1139781.31377803,1079629.2075317444,1083980.6590702364,1136317.8208953876,1115091.8739805992,987919.795876064,1109617.515479882,1032733.1117158673,1094715.1101517193,1138519.9065432283,1121083.077283085,1130535.0727286448,1088672.377654605,1162369.6132355533,1070503.6469309556,1074584.2763179205,1122447.2202732651
2025-11-01,1077895.8746269655,1084317.701548882,1136855.366744699,1131957.2016139869,1068715.9582616952,1083705.846955275,1135200.7082085307,1103687.2138484379,983405.6488581825,1120620.411032014,1010568.1852790767,1090217.6032697153,1124880.1885207698,1136508.5989844622,1126837.8681910424,1093539.1930897417,1162224.9075262514,1073222.3506877436,1058494.1111525039,1104501.3419219952
2025-12-01,1067687.2144842334,1086325.7078932817,1127111.4511506872,1117106.2466949704,1056331.9429333166,1073312.9108916894,1137238.2798215165,1110769.8403951258,982281.6902985799,1119505.4948707698,995460.9356473489,1091857.1341349173,1120909.268035583,1148213.4415328747,1127494.97673156,1097406.7742987776,1152676.6456646868,1068946.1788251684,1065832.98366359,1095367.2794710384
2026-01-01,1083024.165573507,1080782.6065812393,1140097.696766667,1114617.424748155,1047982.6093812526,1070489.8522634462,1154068.891539508,1122626.9366278218,988241.1196548303,1127826.4219193966,985688.3292342654,1093550.2942970071,1121157.3857524663,1166727.4612419412,1129271.979541392,1099105.6676257406,1158092.558320023,1058577.797498807,1077601.9849496027,1098829.8750318068
